name,stars,commits
libvips/libvips,10127,7571
phpredis/phpredis,10064,2350
Klipper3d/klipper,9988,5120
libgit2/libgit2,9884,12845
jemalloc/jemalloc,9836,2840
screetsec/TheFatRat,9793,513
i3/i3,9773,5302
Immediate-Mode-UI/Nuklear,9770,1734
Flipper-XFW/Xtreme-Firmware,9639,4365
Cyan4973/xxHash,9613,1354
Tencent/xLua,9559,875
eclipse-mosquitto/mosquitto,9497,2825
tporadowski/redis,9347,5078
betaflight/betaflight,9117,16190
xmrig/xmrig,9112,2503
microsoft/react-native-code-push,9071,1226
torch/torch7,9027,819
AppImage/AppImageKit,8915,1361
lua/lua,8863,5683
pymumu/smartdns,8804,893
irungentoo/toxcore,8746,2423
pocoproject/poco,8727,4702
VirusTotal/yara,8605,2823
squeaky-pl/japronto,8598,690
mattn/go-sqlite3,8308,655
FelixKratz/SketchyBar,8051,1037
antirez/disque,8025,510
unicorn-engine/unicorn,7964,2397
floooh/sokol,7953,2986
pygame/pygame,7877,5458
capstone-engine/capstone,7860,4141
nodemcu/nodemcu-firmware,7752,1776
AdAway/AdAway,7732,3900
ahrm/sioyek,7695,933
telekom-security/tpotce,7567,1943
Ralim/IronOS,7546,2474
wasm3/wasm3,7485,1597
veracrypt/VeraCrypt,7389,2499
winfsp/winfsp,7389,2965
esnet/iperf,7326,1195
microsoft/Windows-driver-samples,7183,709
jerryscript-project/jerryscript,7161,3924
liuliu/ccv,7114,3041
jart/blink,7106,605
OpenIntelWireless/itlwm,7027,787
ithewei/libhv,7026,815
CTCaer/hekate,6999,1673
flightlessmango/MangoHud,6958,2057
libimobiledevice/libimobiledevice,6915,1775
greatscottgadgets/hackrf,6890,2367
htop-dev/htop,6874,2549
SanderMertens/flecs,6824,4887
fontforge/fontforge,6820,5694
henrypp/simplewall,6768,660
universal-ctags/ctags,6728,10192
fluent/fluent-bit,6654,10768
pwn20wndstuff/Undecimus,6649,747
OpenMathLib/OpenBLAS,6639,5763
TelegramMessenger/Telegram-iOS,6637,8153
sqlcipher/sqlcipher,6512,811
ntop/n2n,6483,1037
merbanan/rtl_433,6436,2627
yarrick/iodine,6370,735
redis/hiredis,6354,831
maharmstone/btrfs,6286,5027
klange/toaruos,6282,5825
akopytov/sysbench,6280,1001
microsoft/WinObjC,6249,3064
rui314/8cc,6214,750
Next-Flip/Momentum-Firmware,6193,4945
sparklemotion/nokogiri,6181,6321
netblue30/firejail,6071,6982
Provenance-Emu/Provenance,6068,5743
nanomsg/nanomsg,6062,1520
madler/zlib,6035,668
mgba-emu/mgba,5996,8433
neutrinolabs/xrdp,5992,3201
lpereira/lwan,5952,3766
hishamhm/htop,5861,835
Airblader/i3,5857,5350
aircrack-ng/aircrack-ng,5846,3779
ponylang/ponyc,5805,5725
pawelsalawa/sqlitestudio,5782,9351
tmate-io/tmate,5765,3755
ravynsoft/ravynos,5762,18821
cmus/cmus,5716,1880
zmap/zmap,5701,1182
RediSearch/RediSearch,5693,4580
kbengine/kbengine,5575,5003
LumaTeam/Luma3DS,5560,1510
AFLplusplus/AFLplusplus,5546,5901
libfuse/libfuse,5546,1808
mozilla/mozjpeg,5523,3899
RMerl/asuswrt-merlin.ng,5516,3849
libusb/libusb,5507,1461
ZipArchive/ZipArchive,5495,544
axboe/fio,5490,5154
nginx/unit,5477,2814
olikraus/u8g2,5468,2820
littlefs-project/littlefs,5450,726
dokan-dev/dokany,5444,1271
guanzhi/GmSSL,5413,715
hathach/tinyusb,5391,6545
haproxy/haproxy,5385,21324
mruby/mruby,5347,16099
kornelski/pngquant,5332,1151
swiftlang/swift-corelibs-foundation,5331,4524
palera1n/palera1n,5322,514
Tencent/puerts,5304,3590
xufuji456/FFmpegAndroid,5270,529
nesbox/TIC-80,5265,2413
bytecodealliance/wasm-micro-runtime,5231,2064
cjdelisle/cjdns,5230,2603
pervognsen/bitwise,5150,549
b4winckler/macvim,5082,5068
tinyproxy/tinyproxy,5076,911
OISF/suricata,5042,21043
rainmeter/rainmeter,5023,3367
vmg/redcarpet,5015,543
zeldaret/oot,5009,2713
andmarti1424/sc-im,4972,1114
RubyMetric/chsrc,4967,1091
tboox/tbox,4958,3317
tianocore/edk2,4949,12826
warmcat/libwebsockets,4918,3289
eradman/entr,4891,523
facebookincubator/katran,4878,908
gnif/LookingGlass,4878,3433
gluster/glusterfs,4855,10014
seL4/seL4,4847,2914
dunst-project/dunst,4830,1982
Cisco-Talos/clamav,4821,2641
espeak-ng/espeak-ng,4813,4564
moonlight-stream/moonlight-android,4812,2990
mpc-hc/mpc-hc,4799,6970
lxc/lxc,4792,5810
XProger/OpenLara,4777,1274
aleksey-hoffman/sigma-file-manager,4714,747
CloverHackyColor/CloverBootloader,4684,1595
ossec/ossec-hids,4651,2251
LongSoft/UEFITool,4646,526
alibaba/AliOS-Things,4610,2606
matz/streem,4600,858
session-replay-tools/tcpcopy,4597,1132
koute/bytehound,4584,545
aws/s2n-tls,4578,4254
RandyGaul/cute_headers,4558,656
nanopb/nanopb,4539,1328
laruence/yaf,4526,888
mackron/miniaudio,4451,3642
BasedHardware/omi,4416,5064
flatpak/flatpak,4400,7245
ultrajson/ultrajson,4385,563
ThrowTheSwitch/Unity,4365,662
marcobambini/gravity,4361,620
sabrogden/Ditto,4353,565
RfidResearchGroup/proxmark3,4344,17930
ptitSeb/box64,4340,5993
yshui/picom,4338,2431
google/wuffs,4319,3849
microsoft/msquic,4231,3310
Netflix/dynomite,4199,984
lc-soft/LCUI,4198,3561
openvenues/libpostal,4191,5263
dvorka/hstr,4183,518
EpicGamesExt/raddebugger,4183,1827
gnea/grbl,4180,532
containers/bubblewrap,4174,541
cloudius-systems/osv,4149,6445
3proxy/3proxy,4135,754
acassen/keepalived,4132,4703
tectonic-typesetting/tectonic,4102,3173
raspberrypi/pico-sdk,4076,1008
open-sdr/openwifi,4058,800
cmusphinx/pocketsphinx,4057,771
Bodmer/TFT_eSPI,4056,1046
tmk/tmk_keyboard,4045,1707
nanomsg/nng,3984,2331
canonical/dqlite,3983,1484
geohot/qira,3978,782
ntop/nDPI,3967,4324
portapack-mayhem/mayhem-firmware,3965,3285
Dav1dde/glad,3957,519
F-Stack/f-stack,3940,746
tanersener/mobile-ffmpeg,3937,798
kohler/gifsicle,3884,581
libjpeg-turbo/libjpeg-turbo,3881,2255
raysan5/raygui,3879,1195
opa334/Dopamine,3861,596
cilium/tetragon,3848,4590
v4l2loopback/v4l2loopback,3835,782
openrazer/openrazer,3825,1541
dankamongmen/notcurses,3808,8434
varnishcache/varnish-cache,3793,18139
xroche/httrack,3790,958
riscv-collab/riscv-gnu-toolchain,3787,638
zsh-users/zsh,3767,3107
NixOS/patchelf,3754,646
jorisvink/kore,3746,1933
contiki-os/contiki,3744,5096
janet-lang/janet,3741,3618
philippe44/AirConnect,3739,625
westes/flex,3734,924
OnionUI/Onion,3703,1304
